ticket_id,priority,description,status,assigned_to,created_at,resolution_time_hours,timestamp,category,subject
2001,Medium,Ticket 1 problem description,Resolved,IT_Support_C,2024-08-06 07:00:00,37.0,,,
2002,High,Ticket 2 problem description,Open,IT_Support_C,2024-04-07 11:00:00,40.0,,,
2003,Medium,Ticket 3 problem description,Resolved,IT_Support_A,2024-08-24 20:00:00,6.0,,,
2004,Critical,Ticket 4 problem description,Resolved,IT_Support_B,2024-06-21 16:00:00,19.0,,,
2005,High,Ticket 5 problem description,Open,IT_Support_C,2024-07-08 13:00:00,80.0,,,
2006,Medium,Ticket 6 problem description,Resolved,IT_Support_A,2024-03-04 01:00:00,7.0,,,
2007,Medium,Ticket 7 problem description,Resolved,IT_Support_A,2024-07-11 18:00:00,10.0,,,
2008,High,Ticket 8 problem description,Resolved,IT_Support_A,2024-06-29 03:00:00,41.0,,,
2009,High,Ticket 9 problem description,Resolved,IT_Support_A,2024-10-08 20:00:00,32.0,,,
2010,High,Ticket 10 problem description,Resolved,IT_Support_C,2024-09-23 07:00:00,70.0,,,
2011,Low,Ticket 11 problem description,In Progress,IT_Support_C,2024-01-11 03:00:00,46.0,,,
2012,Medium,Ticket 12 problem description,Open,IT_Support_A,2024-04-22 06:00:00,15.0,,,
2013,Medium,Ticket 13 problem description,Resolved,IT_Support_A,2024-08-19 02:00:00,30.0,,,
2014,Low,Ticket 14 problem description,Resolved,IT_Support_A,2024-04-07 22:00:00,37.0,,,
2015,High,Ticket 15 problem description,Resolved,IT_Support_A,2024-04-20 23:00:00,29.0,,,
2016,Low,Ticket 16 problem description,Waiting for User,IT_Support_C,2024-09-02 21:00:00,75.0,,,
2017,Medium,Ticket 17 problem description,Resolved,IT_Support_A,2024-03-09 23:00:00,4.0,,,
2018,High,Ticket 18 problem description,Resolved,IT_Support_A,2024-10-15 03:00:00,20.0,,,
2019,Medium,Ticket 19 problem description,Resolved,IT_Support_A,2024-08-26 19:00:00,32.0,,,
2020,Low,Ticket 20 problem description,Resolved,IT_Support_B,2024-08-14 19:00:00,36.0,,,
2021,Medium,Ticket 21 problem description,In Progress,IT_Support_A,2024-07-19 01:00:00,4.0,,,
2022,Low,Ticket 22 problem description,Resolved,IT_Support_C,2024-03-13 08:00:00,61.0,,,
2023,Medium,Ticket 23 problem description,In Progress,IT_Support_A,2024-10-22 16:00:00,17.0,,,
2024,Low,Ticket 24 problem description,Resolved,IT_Support_C,2024-05-08 10:00:00,83.0,,,
2025,Medium,Ticket 25 problem description,In Progress,IT_Support_B,2024-04-13 09:00:00,22.0,,,
2026,Low,Ticket 26 problem description,Resolved,IT_Support_A,2024-01-25 06:00:00,17.0,,,
2027,Medium,Ticket 27 problem description,Resolved,IT_Support_B,2024-10-17 02:00:00,10.0,,,
2028,High,Ticket 28 problem description,Open,IT_Support_C,2024-08-16 11:00:00,49.0,,,
2029,Critical,Ticket 29 problem description,Waiting for User,IT_Support_C,2024-06-20 18:00:00,62.0,,,
2030,High,Ticket 30 problem description,In Progress,IT_Support_B,2024-04-11 01:00:00,26.0,,,
2031,Critical,Ticket 31 problem description,Resolved,IT_Support_B,2024-01-12 18:00:00,18.0,,,
2032,High,Ticket 32 problem description,Waiting for User,IT_Support_C,2024-04-10 11:00:00,69.0,,,
2033,Medium,Ticket 33 problem description,Resolved,IT_Support_B,2024-01-17 09:00:00,47.0,,,
2034,Medium,Ticket 34 problem description,Waiting for User,IT_Support_A,2024-02-26 22:00:00,29.0,,,
2035,Low,Ticket 35 problem description,Resolved,IT_Support_C,2024-01-12 15:00:00,61.0,,,
2036,Low,Ticket 36 problem description,Open,IT_Support_A,2024-08-03 18:00:00,36.0,,,
2037,Medium,Ticket 37 problem description,In Progress,IT_Support_B,2024-09-20 20:00:00,35.0,,,
2038,Low,Ticket 38 problem description,Open,IT_Support_A,2024-03-21 22:00:00,12.0,,,
2039,Low,Ticket 39 problem description,Resolved,IT_Support_A,2024-07-16 07:00:00,7.0,,,
2040,Medium,Ticket 40 problem description,Resolved,IT_Support_A,2024-01-25 17:00:00,29.0,,,
2041,High,Ticket 41 problem description,In Progress,IT_Support_C,2024-03-29 11:00:00,31.0,,,
2042,High,Ticket 42 problem description,Resolved,IT_Support_A,2024-05-22 08:00:00,33.0,,,
2043,High,Ticket 43 problem description,Waiting for User,IT_Support_A,2024-01-26 14:00:00,6.0,,,
2044,High,Ticket 44 problem description,Open,IT_Support_A,2024-10-14 09:00:00,47.0,,,
2045,High,Ticket 45 problem description,Resolved,IT_Support_B,2024-01-16 06:00:00,15.0,,,
2046,Low,Ticket 46 problem description,Open,IT_Support_C,2024-10-08 20:00:00,62.0,,,
2047,Low,Ticket 47 problem description,Resolved,IT_Support_B,2024-03-26 06:00:00,11.0,,,
2048,Critical,Ticket 48 problem description,Open,IT_Support_B,2024-09-26 14:00:00,23.0,,,
2049,High,Ticket 49 problem description,In Progress,IT_Support_C,2024-04-26 06:00:00,59.0,,,
2050,Critical,Ticket 50 problem description,Resolved,IT_Support_B,2024-05-16 18:00:00,34.0,,,
2051,Medium,Ticket 51 problem description,Resolved,IT_Support_A,2024-06-24 07:00:00,46.0,,,
2052,Medium,Ticket 52 problem description,Waiting for User,IT_Support_A,2024-08-02 17:00:00,34.0,,,
2053,Low,Ticket 53 problem description,Resolved,IT_Support_A,2024-08-10 19:00:00,29.0,,,
2054,Medium,Ticket 54 problem description,Resolved,IT_Support_A,2024-04-12 16:00:00,4.0,,,
2055,Low,Ticket 55 problem description,Resolved,IT_Support_B,2024-01-14 23:00:00,17.0,,,
2056,Low,Ticket 56 problem description,Resolved,IT_Support_C,2024-04-17 12:00:00,62.0,,,
2057,High,Ticket 57 problem description,Resolved,IT_Support_A,2024-04-07 02:00:00,13.0,,,
2058,Low,Ticket 58 problem description,Resolved,IT_Support_B,2024-10-19 10:00:00,41.0,,,
2059,Medium,Ticket 59 problem description,Resolved,IT_Support_B,2024-07-01 22:00:00,39.0,,,
2060,Medium,Ticket 60 problem description,Open,IT_Support_A,2024-02-08 14:00:00,15.0,,,
2061,Medium,Ticket 61 problem description,Resolved,IT_Support_C,2024-01-04 21:00:00,55.0,,,
2062,Low,Ticket 62 problem description,Resolved,IT_Support_B,2024-07-28 00:00:00,29.0,,,
2063,Medium,Ticket 63 problem description,Resolved,IT_Support_A,2024-01-16 12:00:00,11.0,,,
2064,Low,Ticket 64 problem description,Resolved,IT_Support_C,2024-04-17 01:00:00,51.0,,,
2065,Low,Ticket 65 problem description,Resolved,IT_Support_B,2024-08-14 09:00:00,2.0,,,
2066,Medium,Ticket 66 problem description,Open,IT_Support_B,2024-02-03 22:00:00,47.0,,,
2067,Low,Ticket 67 problem description,In Progress,IT_Support_B,2024-09-25 12:00:00,14.0,,,
2068,Medium,Ticket 68 problem description,Resolved,IT_Support_B,2024-09-30 02:00:00,20.0,,,
2069,Medium,Ticket 69 problem description,In Progress,IT_Support_C,2024-02-08 13:00:00,95.0,,,
2070,Medium,Ticket 70 problem description,Open,IT_Support_A,2024-01-29 16:00:00,11.0,,,
2071,High,Ticket 71 problem description,Resolved,IT_Support_A,2024-09-01 11:00:00,27.0,,,
2072,Low,Ticket 72 problem description,Waiting for User,IT_Support_A,2024-07-03 15:00:00,3.0,,,
2073,Medium,Ticket 73 problem description,Waiting for User,IT_Support_C,2024-08-23 14:00:00,67.0,,,
2074,Medium,Ticket 74 problem description,Resolved,IT_Support_A,2024-09-22 06:00:00,44.0,,,
2075,Low,Ticket 75 problem description,Resolved,IT_Support_C,2024-03-05 16:00:00,75.0,,,
